modelo;ID;ITERACAO;PARAM_ATUAL;MPA_ATUAL;PARAM_MELHOR;MPA_MELHOR;Unnamed: 0
log_holts_hill_climb_12m;0;117;00100000010011000010100011001;0.1430568894694421;00100000010011000010100011001;0.1430568894694421;
log_holts_hill_climb_12m;1;163;11010011111111111111111111110;0.1327091486126263;11010011111111111111111111110;0.1327091486126263;
log_holts_hill_climb_12m;2;632;00001110011111110111100101011;0.1298055963847211;00001110011111110111100101011;0.1298055963847211;
log_holts_hill_climb_12m;3;239;00010000001000100000010100111;0.1304039424245549;00010000001000100000010100111;0.1304039424245549;
log_holts_hill_climb_12m;4;391;00000110001011001100111010010;0.1298131383829034;00000110001011001100111010010;0.1298131383829034;
log_holts_hill_climb_12m;5;564;00000110011011001100101010111;0.1298131383829034;00000110011011001100101010111;0.1298131383829034;
log_holts_hill_climb_12m;6;883;00000111010111100111100011101;0.1298095967037242;00000111010111100111100011101;0.1298095967037242;
log_holts_hill_climb_12m;7;248;10001001101011001100111101110;0.1296534438991966;10001001101011001100111101110;0.1296534438991966;
log_holts_hill_climb_12m;8;109;11010011101111111101111111111;0.1327091486126263;11010011101111111101111111111;0.1327091486126263;
log_holts_hill_climb_12m;9;982;00001101011001110011100010001;0.1297772981326848;00001101011001110011100010001;0.1297772981326848;
log_holts_hill_climb_12m;10;63;00001100000100000001010111001;0.1297819808620256;00001100000100000001010111001;0.1297819808620256;
log_holts_hill_climb_12m;11;962;00000110111011111001000001100;0.1297944018142584;00000110111011111001000001100;0.1297944018142584;
log_holts_hill_climb_12m;12;353;00001100110101101011011110111;0.1297765545910122;00001100110101101011011110111;0.1297765545910122;
log_holts_hill_climb_12m;13;214;11010011111111111100111111110;0.1327091486126263;11010011111111111100111111110;0.1327091486126263;
log_holts_hill_climb_12m;14;271;00001110001110111110101100100;0.1298219368822371;00001110001110111110101100100;0.1298219368822371;
log_holts_hill_climb_12m;15;130;00001101001001110001011010111;0.1297772981326848;00001101001001110001011010111;0.1297772981326848;
log_holts_hill_climb_12m;16;190;00001110011111110111001100010;0.1298055963847211;00001110011111110111001100010;0.1298055963847211;
log_holts_hill_climb_12m;17;835;00010000001000011110110101000;0.1303924358820107;00010000001000011110110101000;0.1303924358820107;
log_holts_hill_climb_12m;18;909;00000011010111111010011100111;0.1300262386511264;00000011010111111010011100111;0.1300262386511264;
log_holts_hill_climb_12m;19;438;00010000011000100010100011101;0.1304039424245549;00010000011000100010100011101;0.1304039424245549;
log_holts_hill_climb_12m;20;796;10010011010111111110010101110;0.1320406437296941;10010011010111111110010101110;0.1320406437296941;
log_holts_hill_climb_12m;21;636;00000011010111111010111001101;0.1300262386511264;00000011010111111010111001101;0.1300262386511264;
log_holts_hill_climb_12m;22;202;10001100011010011100100111100;0.1296761702646801;10001100011010011100100111100;0.1296761702646801;
log_holts_hill_climb_12m;23;937;00000110000011111101010000101;0.1298043993094813;00000110000011111101010000101;0.1298043993094813;
log_holts_hill_climb_12m;24;415;10001010101010111110101100010;0.1296579144161314;10001010101010111110101100010;0.1296579144161314;
log_holts_hill_climb_1m;0;84;10110100001010011110111000111;0.0001393363443452;10110100001010011110111000111;0.0001393363443452;
