Data;Total
1997-01-31;42509366.35
1997-02-28;31697268.84
1997-03-31;28909329.75
1997-04-30;36253023.18
1997-05-31;36997369.01
1997-06-30;28735518.81
1997-07-31;30857596.09
1997-08-31;32440486.59
1997-09-30;33416496.88
1997-10-31;34154336.21
1997-11-30;37991833.18
1997-12-31;33440160.54
1998-01-31;40513089.5
1998-02-28;33323018.31
1998-03-31;31163859.53
1998-04-30;37120519.71
1998-05-31;35306932.61
1998-06-30;25018287.32
1998-07-31;26336622.58
1998-08-31;34383055.13
1998-09-30;33274839.97
1998-10-31;28311371.86
1998-11-30;30453174.69
1998-12-31;30502603.91
1999-01-31;39527782.43
1999-02-28;40131363.03
1999-03-31;41029267.04
1999-04-30;37248969.81
1999-05-31;40226175.08
1999-06-30;26872502.94
1999-07-31;26727831.17
1999-08-31;33337673.6
1999-09-30;31108354.55
1999-10-31;37059947.37
1999-11-30;35213748.46
1999-12-31;38701427.6
2000-01-31;43693380.12
2000-02-29;41445904.08
2000-03-31;45149224.05
2000-04-30;46829416.61
2000-05-31;44791609.82
2000-06-30;36331926.36
2000-07-31;34565650.66
2000-08-31;38539066.12
2000-09-30;38860189.38
2000-10-31;41087266.22
2000-11-30;44595431.37
2000-12-31;50328634.68
2001-01-31;58446681.15
2001-02-28;47621974.83
2001-03-31;41759560.54
2001-04-30;49115886.8
2001-05-31;55223601.25
2001-06-30;47914768.86
2001-07-31;43586831.34
2001-08-31;45889516.04
2001-09-30;49635041.46
2001-10-31;47435275.66
2001-11-30;49301734.77
2001-12-31;59793624.2
2002-01-31;64724144.04
2002-02-28;75620614.13
2002-03-31;57871245.58
2002-04-30;60442112.63
2002-05-31;69273608.94
2002-06-30;48770277.34
2002-07-31;53326736.51
2002-08-31;50493533.84
2002-09-30;55744586.35
2002-10-31;73456601.28
2002-11-30;64430278.42
2002-12-31;63105330.11
2003-01-31;68747979.04
2003-02-28;72388466.42
2003-03-31;62787201.48
2003-04-30;59781322.42
2003-05-31;83850597.23
2003-06-30;58884834.79
2003-07-31;49372120.38
2003-08-31;64771944.79
2003-09-30;56201432.05
2003-10-31;58065169.46
2003-11-30;64682467.44
2003-12-31;67439625.53
2004-01-31;74021116.89
2004-02-29;80838527.36
2004-03-31;65422371.44
2004-04-30;72064491.02
2004-05-31;83930218.48
2004-06-30;54483123.4
2004-07-31;56659243.49
2004-08-31;73712356.73
2004-09-30;63831476.37
2004-10-31;68309951.03
2004-11-30;68097107.88
2004-12-31;84048755.69
2005-01-31;94505113.35
2005-02-28;82729157.24
2005-03-31;79341988.55
2005-04-30;86143005.62
2005-05-31;97231795.75
2005-06-30;94202094.74
2005-07-31;77355411.93
2005-08-31;79586393.48
2005-09-30;66479396.16
2005-10-31;76982965.67
2005-11-30;93058681.71
2005-12-31;130468891.03
2006-01-31;107096726.48
2006-02-28;92111339.38
2006-03-31;87022291.1
2006-04-30;97972092.06
2006-05-31;107522635.6
2006-06-30;104638834.67
2006-07-31;93761591.2
2006-08-31;94863786.06
2006-09-30;88138983.97
2006-10-31;79871618.26
2006-11-30;98372357.39
2006-12-31;119629117.89
2007-01-31;106434332.71
2007-02-28;114386496.0
2007-03-31;93033387.47
2007-04-30;111232711.66
2007-05-31;119256023.47
2007-06-30;121828636.9
2007-07-31;94744364.08
2007-08-31;99970775.7
2007-09-30;102952603.3
2007-10-31;97417082.01
2007-11-30;114219493.81
2007-12-31;154622975.23
2008-01-31;136285898.58
2008-02-29;149788675.28
2008-03-31;117981615.61
2008-04-30;136755963.18
2008-05-31;143889740.88
2008-06-30;124055018.44
2008-07-31;112378738.78
2008-08-31;137268044.98
2008-09-30;120884885.46
2008-10-31;115049712.13
2008-11-30;145792213.31
2008-12-31;153447503.59
2009-01-31;140006128.48
2009-02-28;130521856.03
2009-03-31;104341429.79
2009-04-30;124189728.31
2009-05-31;147908089.43
2009-06-30;127662379.29
2009-07-31;97954819.15
2009-08-31;113953741.27
2009-09-30;100873652.74
2009-10-31;116038150.43
2009-11-30;144846063.89
2009-12-31;156188973.57
2010-01-31;120277738.15
2010-02-28;146850453.07
2010-03-31;109088759.77
2010-04-30;130704700.6
2010-05-31;160924106.92
2010-06-30;139661653.72
2010-07-31;102698589.79
2010-08-31;137636616.77
2010-09-30;114894494.87
2010-10-31;123682581.63
2010-11-30;148266285.91
2010-12-31;186882304.59
2011-01-31;181353408.9
2011-02-28;195381713.41
2011-03-31;127549151.06
2011-04-30;169065993.09
2011-05-31;194052383.4
2011-06-30;175145945.58
2011-07-31;148992418.68
2011-08-31;153688343.64
2011-09-30;122694261.35
2011-10-31;161272942.12
2011-11-30;170365693.73
2011-12-31;197898453.76
2012-01-31;180472009.37
2012-02-29;218308311.52
2012-03-31;148266206.97
2012-04-30;186864050.1
2012-05-31;208994218.2
2012-06-30;178344992.36
2012-07-31;133182077.95
2012-08-31;146963628.09
2012-09-30;128591016.34
2012-10-31;136505167.81
2012-11-30;184509157.07
2012-12-31;208552243.09
2013-01-31;192824922.02
2013-02-28;259425309.23
2013-03-31;149409711.48
2013-04-30;160313251.87
2013-05-31;230348352.67
2013-06-30;192177917.09
2013-07-31;136855201.92
2013-08-31;178935992.31
2013-09-30;148093011.64
2013-10-31;148095286.61
2013-11-30;205997536.29
2013-12-31;212471614.27
2014-01-31;253941238.67
2014-02-28;271172100.91
2014-03-31;160857951.51
2014-04-30;183592268.51
2014-05-31;244659271.1
2014-06-30;183478661.07
2014-07-31;157584955.1
2014-08-31;191438909.4
2014-09-30;167812210.64
2014-10-31;158599820.25
2014-11-30;209927143.87
2014-12-31;230589588.57
2015-01-31;258312643.58
2015-02-28;263687163.75
2015-03-31;192057367.67
2015-04-30;207280792.15
2015-05-31;254897553.99
2015-06-30;221786713.16
2015-07-31;164226107.63
2015-08-31;192073916.14
2015-09-30;160133218.42
2015-10-31;182258141.09
2015-11-30;205783748.29
2015-12-31;236627696.73
2016-01-31;225469860.81
2016-02-29;281978944.54
2016-03-31;171447344.0
2016-04-30;203814071.53
2016-05-31;271006234.67
2016-06-30;223909333.93
2016-07-31;162336893.75
2016-08-31;201320250.08
2016-09-30;163713584.42
2016-10-31;196904793.75
2016-11-30;344090616.22
2016-12-31;413693928.9
2017-01-31;241976739.39
2017-02-28;309116149.49
2017-03-31;194387121.31
2017-04-30;232657975.05
2017-05-31;265218966.52
2017-06-30;244152621.97
2017-07-31;187256063.62
2017-08-31;213405606.11
2017-09-30;178939374.5
2017-10-31;201258868.9
2017-11-30;209693665.83
2017-12-31;277804015.4
2018-01-31;256641607.96
2018-02-28;330888207.23
2018-03-31;224839499.04
2018-04-30;235209180.16
2018-05-31;288754342.81
2018-06-30;267574189.41
2018-07-31;183457279.68
2018-08-31;231036978.46
2018-09-30;174542051.88
2018-10-31;199249839.15
2018-11-30;248176949.89
2018-12-31;297709407.2
2019-01-31;309620330.5
2019-02-28;340525797.22
2019-03-31;253709066.13
2019-04-30;249230817.27
2019-05-31;319054587.44
2019-06-30;252100430.85
2019-07-31;206448210.38
2019-08-31;249736674.71
2019-09-30;221181622.21
2019-10-31;206150560.87
2019-11-30;277258905.41
2019-12-31;329430181.7
