"UF";"Ano";"Mês";"Transferência";"1º Decêndio";"2º Decêndio";"3º Decêndio";"Total"
"SE";"1997";"01";"FPE";"R$24.786.736,02";"R$10.808.815,80";"R$6.913.814,53";"R$42.509.366,35"
"SE";"1997";"02";"FPE";"R$15.756.271,92";"R$9.551.955,51";"R$6.389.041,41";"R$31.697.268,84"
"SE";"1997";"03";"FPE";"R$13.767.849,67";"R$8.421.993,29";"R$6.719.486,79";"R$28.909.329,75"
"SE";"1997";"04";"FPE";"R$20.255.763,57";"R$11.059.835,70";"R$4.937.423,91";"R$36.253.023,18"
"SE";"1997";"05";"FPE";"R$21.586.508,10";"R$9.556.892,79";"R$5.853.968,12";"R$36.997.369,01"
"SE";"1997";"06";"FPE";"R$16.159.850,23";"R$5.506.232,05";"R$7.069.436,53";"R$28.735.518,81"
"SE";"1997";"07";"FPE";"R$15.600.166,09";"R$9.077.905,90";"R$6.179.524,10";"R$30.857.596,09"
"SE";"1997";"08";"FPE";"R$18.285.215,97";"R$6.261.513,38";"R$7.893.757,24";"R$32.440.486,59"
"SE";"1997";"09";"FPE";"R$16.519.010,42";"R$10.087.250,28";"R$6.810.236,18";"R$33.416.496,88"
"SE";"1997";"10";"FPE";"R$16.571.436,33";"R$11.279.482,53";"R$6.303.417,35";"R$34.154.336,21"
"SE";"1997";"11";"FPE";"R$19.707.618,50";"R$10.571.558,79";"R$7.712.655,89";"R$37.991.833,18"
"SE";"1997";"12";"FPE";"R$14.695.844,05";"R$12.916.308,31";"R$5.828.008,18";"R$33.440.160,54"
"SE";"1998";"01";"FPE";"R$17.512.461,87";"R$16.735.210,40";"R$6.265.417,23";"R$40.513.089,50"
"SE";"1998";"02";"FPE";"R$14.954.962,45";"R$9.521.776,14";"R$8.846.279,72";"R$33.323.018,31"
"SE";"1998";"03";"FPE";"R$15.152.678,87";"R$8.131.749,54";"R$7.879.431,12";"R$31.163.859,53"
"SE";"1998";"04";"FPE";"R$20.835.359,86";"R$10.857.738,88";"R$5.427.420,97";"R$37.120.519,71"
"SE";"1998";"05";"FPE";"R$19.569.971,27";"R$8.908.530,26";"R$6.828.431,08";"R$35.306.932,61"
"SE";"1998";"06";"FPE";"R$12.906.143,31";"R$7.502.858,49";"R$4.609.285,52";"R$25.018.287,32"
"SE";"1998";"07";"FPE";"R$12.471.797,24";"R$7.618.299,96";"R$6.246.525,38";"R$26.336.622,58"
"SE";"1998";"08";"FPE";"R$19.142.965,81";"R$6.704.203,49";"R$8.535.885,83";"R$34.383.055,13"
"SE";"1998";"09";"FPE";"R$14.732.971,54";"R$13.598.377,75";"R$4.943.490,68";"R$33.274.839,97"
"SE";"1998";"10";"FPE";"R$14.133.381,03";"R$8.746.709,16";"R$5.431.281,67";"R$28.311.371,86"
